date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:46:16	1028/1028	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2007%20Aug%202012%2013:05:11%20GMT	http://prog.berzsenyi.hu:8080/robots.txt		(from )
15:46:18	9338/9338	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2013:05:11%20GMT	http://prog.berzsenyi.hu:8080/prog/	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/index.html	(from )
15:46:18	2203/2203	---M--	200	added ('OK')	text/javascript	etag:W/%222203-1283875227000%22	http://prog.berzsenyi.hu:8080/prog/js/tatab.js	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/js/tatab.js	(from )
15:46:19	7005/7005	---M--	200	added ('OK')	text/css	etag:W/%227005-1283875227000%22	http://prog.berzsenyi.hu:8080/prog/css/system/unsorted.css	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/css/system/unsorted.css	(from )
15:46:19	2164/2164	---M--	200	added ('OK')	text/css	etag:W/%222164-1283875227000%22	http://prog.berzsenyi.hu:8080/prog/css/system/tables.css	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/css/system/tables.css	(from )
15:46:20	701/701	---M--	200	added ('OK')	text/css	etag:W/%22701-1283875227000%22	http://prog.berzsenyi.hu:8080/prog/css/common/view.css	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/css/common/view.css	(from )
15:46:20	2352/2352	---M--	200	added ('OK')	text/css	etag:W/%222352-1283875227000%22	http://prog.berzsenyi.hu:8080/prog/css/common/doc.css	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/css/common/doc.css	(from )
15:46:20	54807/54807	---M--	200	added ('OK')	text/javascript	etag:W/%2254807-1283875227000%22	http://prog.berzsenyi.hu:8080/prog/js/latex/LaTeXMathML.js	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/js/latex/LaTeXMathML.js	(from )
15:46:20	930/930	---M--	200	added ('OK')	text/css	etag:W/%22930-1283875227000%22	http://prog.berzsenyi.hu:8080/prog/css/common/doc.lists.css	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/css/common/doc.lists.css	(from )
15:46:21	123/123	---M--	200	added ('OK')	text/css	etag:W/%22123-1283875227000%22	http://prog.berzsenyi.hu:8080/prog/css/screen/doc.css	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/css/screen/doc.css	(from )
15:46:21	466/466	---M--	200	added ('OK')	text/css	etag:W/%22466-1283875227000%22	http://prog.berzsenyi.hu:8080/prog/css/screen/view.css	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/css/screen/view.css	(from )
15:46:22	7405/7405	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2013:05:16%20GMT	http://prog.berzsenyi.hu:8080/prog/View/doku/info/articles	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/View/doku/info/articles.html	(from )
15:46:23	6926/6926	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2013:05:16%20GMT	http://prog.berzsenyi.hu:8080/prog/View/verseny/nttv/00table	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/View/verseny/nttv/00table.html	(from )
15:46:23	7082/7082	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2013:05:18%20GMT	http://prog.berzsenyi.hu:8080/prog/View/doku/info/projects	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/View/doku/info/projects.html	(from )
15:46:23	212/212	---M--	200	added ('OK')	image/png	etag:W/%22212-1283875227000%22	http://prog.berzsenyi.hu:8080/prog/img/up_passive.png	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/img/up_passive.png	(from )
15:46:24	7827/7827	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2013:05:18%20GMT	http://prog.berzsenyi.hu:8080/prog/View/doku/info/contr	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/View/doku/info/contr.html	(from )
15:46:24	7240/7240	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2013:05:18%20GMT	http://prog.berzsenyi.hu:8080/prog/View/doku/info/links	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/View/doku/info/links.html	(from )
15:46:25	9338/9338	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2013:05:19%20GMT	http://prog.berzsenyi.hu:8080/prog/View	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/View.html	(from )
15:46:27	15898/15898	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2013:05:19%20GMT	http://prog.berzsenyi.hu:8080/prog/View/ab	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/View/ab.html	(from )
15:46:29	7390/7390	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2013:05:20%20GMT	http://prog.berzsenyi.hu:8080/prog/View/cimkek	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/View/cimkek.html	(from )
15:46:33	7340/7340	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2013:05:20%20GMT	http://prog.berzsenyi.hu:8080/prog/View/doku	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/View/doku.html	(from )
15:46:34	6792/6792	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2013:05:23%20GMT	http://prog.berzsenyi.hu:8080/prog/View/elmelet	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/View/elmelet.html	(from )
15:46:36	8036/8036	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2013:05:25%20GMT	http://prog.berzsenyi.hu:8080/prog/View/erettsegi	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/View/erettsegi.html	(from )
15:46:40	6202/6202	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2013:05:29%20GMT	http://prog.berzsenyi.hu:8080/prog/View/inftort	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/View/inftort.html	(from )
15:46:41	11334/11334	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2013:05:29%20GMT	http://prog.berzsenyi.hu:8080/prog/View/grafika	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/View/grafika.html	(from )
15:46:48	6695/6695	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2013:05:37%20GMT	http://prog.berzsenyi.hu:8080/prog/View/or	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/View/or.html	(from )
15:46:48	12118/12118	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2013:05:35%20GMT	http://prog.berzsenyi.hu:8080/prog/View/net	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/View/net.html	(from )
15:46:48	14588/14588	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2013:05:31%20GMT	http://prog.berzsenyi.hu:8080/prog/View/logo	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/View/logo.html	(from )
15:46:50	8983/8983	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2013:05:44%20GMT	http://prog.berzsenyi.hu:8080/prog/View/prez	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/View/prez.html	(from )
15:47:02	17160/17160	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2013:05:44%20GMT	http://prog.berzsenyi.hu:8080/prog/View/progbev	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/View/progbev.html	(from )
15:47:05	17730/17730	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2013:05:45%20GMT	http://prog.berzsenyi.hu:8080/prog/View/szoveg	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/View/szoveg.html	(from )
15:47:08	9895/9895	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2013:05:44%20GMT	http://prog.berzsenyi.hu:8080/prog/View/szakkor	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/View/szakkor.html	(from )
15:47:14	26937/26937	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2013:05:16%20GMT	http://prog.berzsenyi.hu:8080/prog/View/szakkor/bdg/1011	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/View/szakkor/bdg/1011.html	(from )
15:47:14	7959/7959	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2013:06:01%20GMT	http://prog.berzsenyi.hu:8080/prog/View/verseny	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/View/verseny.html	(from )
15:47:15	16772/16772	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2013:05:58%20GMT	http://prog.berzsenyi.hu:8080/prog/View/tablazat	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/View/tablazat.html	(from )
15:47:15	107019/107019	---MC-	200	added ('OK')	image/jpeg	date:Tue,%2007%20Aug%202012%2013:06:04%20GMT	http://prog.berzsenyi.hu:8080/prog/Download?node=5523	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/Download1613.jpg	(from )
15:47:15	2026/2026	---M--	200	added ('OK')	image/png	etag:W/%222026-1283875227000%22	http://prog.berzsenyi.hu:8080/prog/img/valid-xhtml10-blue.png	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/img/valid-xhtml10-blue.png	(from )
15:47:16	8097/8097	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2013:06:10%20GMT	http://prog.berzsenyi.hu:8080/prog/View/doku/floss	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/View/doku/floss.html	(from )
15:47:16	1394/1394	---M--	200	added ('OK')	image/png	etag:W/%221394-1283875227000%22	http://prog.berzsenyi.hu:8080/prog/img/valid-css-blue.png	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/img/valid-css-blue.png	(from )
15:47:16	8193/8193	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2013:06:10%20GMT	http://prog.berzsenyi.hu:8080/prog/View/doku/info/njcms	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/View/doku/info/njcms.html	(from )
15:47:17	9338/9338	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2013:06:11%20GMT	http://prog.berzsenyi.hu:8080/prog/View/	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/View/index.html	(from http://prog.berzsenyi.hu:8080/prog/)
15:47:18	212/212	---M--	200	added ('OK')	image/png	etag:W/%22212-1283875227000%22	http://prog.berzsenyi.hu:8080/prog/img/up.png	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/img/up.png	(from http://prog.berzsenyi.hu:8080/prog/)
15:47:40	12604/12604	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2013:06:13%20GMT	http://prog.berzsenyi.hu:8080/prog/View/szakkor/bdg	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/View/szakkor/bdg.html	(from http://prog.berzsenyi.hu:8080/prog/)
15:48:16	18022/18022	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2013:06:13%20GMT	http://prog.berzsenyi.hu:8080/prog/View/szakkor/bdg/0405	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/View/szakkor/bdg/0405.html	(from http://prog.berzsenyi.hu:8080/prog/)
15:48:28	22957/22957	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2013:06:13%20GMT	http://prog.berzsenyi.hu:8080/prog/View/szakkor/bdg/0506	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/View/szakkor/bdg/0506.html	(from http://prog.berzsenyi.hu:8080/prog/)
